LakeName,Year,ResidentialCount,AgriculturalCount,CommercialCount,IndustrialCount,PublicCount,AvgSeasonalLakeGrade,AvgSecchiDepth,AvgPhosphorus,ResidentialProportion,AgriculturalProportion,CommercialProportion,IndustrialProportion,PublicProportion,TotalCount
Loon Lake,2010,55,26,0,0,28,0,0.454166667,0.07725,0.504587156,0.23853211,0,0,0.256880734,109
Lost Lake,2010,4106,0,307,16,222,#N/A,#N/A,#N/A,0.882820899,0,0.06600731,0.00344012,0.047731671,4651
Lotus Lake,2010,2955,0,81,22,121,2,1.342727273,0.032636364,0.92953759,0,0.025479711,0.006920415,0.038062284,3179
Lower Prior Lake,2010,1056,4,0,0,56,3,2.735714286,0.025,0.946236559,0.003584229,0,0,0.050179211,1116
Lucy Lake,2010,1417,2,14,0,75,2,1.591666667,0.041833333,0.939655172,0.00132626,0.00928382,0,0.049734748,1508
MacDonald Lake,2010,77,72,0,0,8,#N/A,#N/A,#N/A,0.49044586,0.458598726,0,0,0.050955414,157
Magda Lake,2010,3806,0,358,247,16,#N/A,#N/A,#N/A,0.859724418,0,0.080867405,0.055793991,0.003614186,4427
Marcott Lake,2010,2918,27,96,55,0,#N/A,#N/A,#N/A,0.94250646,0.00872093,0.031007752,0.017764858,0,3096
Maria Lake,2010,2451,646,16,61,379,#N/A,#N/A,#N/A,0.689839572,0.181818182,0.004503237,0.01716859,0.106670419,3553
Marion Lake,2010,9845,401,456,180,50,2,1.556666667,0.038533333,0.900567142,0.036681303,0.041712404,0.016465423,0.004573729,10932
Markgraf Lake,2010,976,20,164,0,194,0,0.283571429,0.205714286,0.720827179,0.014771049,0.1211226,0,0.143279173,1354
Markley Lake,2010,1475,10,0,62,161,#N/A,#N/A,#N/A,0.863583138,0.005854801,0,0.036299766,0.094262295,1708
Marsh Lake,2010,47,42,6,0,6,#N/A,#N/A,#N/A,0.465346535,0.415841584,0.059405941,0,0.059405941,101
Marshan Lake,2010,859,6,84,118,175,#N/A,#N/A,#N/A,0.691626409,0.004830918,0.06763285,0.095008052,0.140901771,1242
Martin Lake,2010,1664,226,303,0,160,#N/A,#N/A,#N/A,0.70718232,0.096047599,0.128771781,0,0.0679983,2353
Masterman Lake,2010,127,16,4,0,30,2,1.881428571,0.048928571,0.717514124,0.09039548,0.02259887,0,0.169491525,177
McCarrons Lake,2010,23431,2,361,264,541,#N/A,#N/A,#N/A,0.952518395,8.13041E-05,0.014675393,0.010732144,0.021992764,24599
McDonald Lake,2010,289,10,2,0,24,#N/A,#N/A,#N/A,0.889230769,0.030769231,0.006153846,0,0.073846154,325
McDonough Lake,2010,5327,0,36,0,4,#N/A,#N/A,#N/A,0.992547047,0,0.006707658,0,0.000745295,5367
McKnight Lake,2010,160,15,0,6,28,0,0.546428571,0.152214286,0.765550239,0.071770335,0,0.028708134,0.133971292,209
McKusick Lake,2010,1946,4,158,0,450,3,2.350714286,0.031142857,0.760750586,0.001563722,0.061767005,0,0.175918686,2558
McMahon Lake,2010,2106,806,4,4,154,2,1.566666667,0.046166667,0.685100846,0.262199089,0.001301236,0.001301236,0.050097593,3074
Meadow Lake,2010,5618,0,396,186,66,#N/A,#N/A,#N/A,0.896584743,0,0.063198213,0.029684009,0.010533035,6266
Medicine Lake,2010,1534,0,74,46,25,2,1.538461538,0.051692308,0.913639071,0,0.044073853,0.02739726,0.014889815,1679
Medina Lake,2010,3535,119,375,80,204,#N/A,#N/A,#N/A,0.819615117,0.027591004,0.086946441,0.018548574,0.047298864,4313
Mergens Pond,2010,523,8,0,0,20,#N/A,#N/A,#N/A,0.949183303,0.014519056,0,0,0.036297641,551
Meuwissen Lake,2010,216,111,8,2,15,#N/A,#N/A,#N/A,0.613636364,0.315340909,0.022727273,0.005681818,0.042613636,352
Miller Lake,2010,66,147,4,0,6,1,0.775,0.183083333,0.295964126,0.659192825,0.01793722,0,0.02690583,223
Minnetoga Lake,2010,3039,0,48,10,14,3,2.285714286,0.030583333,0.976856316,0,0.015429122,0.003214401,0.004500161,3111
Minnetonka Lake,2010,503,0,10,0,12,#N/A,#N/A,#N/A,0.958095238,0,0.019047619,0,0.022857143,525
Minnewashta Lake,2010,2907,0,100,2,100,3,2.369230769,0.019461538,0.93502734,0,0.032164683,0.000643294,0.032164683,3109
Mitchell Lake,2010,2744,0,60,24,84,2,1.746153846,0.044538462,0.942307692,0,0.020604396,0.008241758,0.028846154,2912
Mooney Lake,2010,7376,48,569,482,148,#N/A,#N/A,#N/A,0.855386756,0.005566508,0.065986316,0.05589702,0.0171634,8623
Moore Lake,2010,4633,0,178,60,551,#N/A,#N/A,#N/A,0.854481741,0,0.032829214,0.011066027,0.101623017,5422
Myers Lake,2010,52,105,10,8,8,#N/A,#N/A,#N/A,0.284153005,0.573770492,0.054644809,0.043715847,0.043715847,183
Nokomis Lake,2010,41839,0,9433,6313,5841,#N/A,#N/A,#N/A,0.659650616,0,0.148724498,0.099533314,0.092091571,63426
Normandale Lake,2010,6165,0,274,30,105,2,1.730769231,0.059923077,0.937785214,0,0.041679343,0.004563432,0.015972011,6574
North Twin Lake,2010,107,18,0,0,24,#N/A,1.175714286,0,0.718120805,0.120805369,0,0,0.161073826,149
Northwood Lake,2010,7968,0,292,266,58,1,0.98,0.130727273,0.928238583,0,0.034016775,0.030987884,0.006756757,8584
O'Connors Lake,2010,76,42,12,0,26,1,0.877777778,0.115555556,0.487179487,0.269230769,0.076923077,0,0.166666667,156
O'Dowd Lake,2010,4792,80,26,0,355,2,1.571428571,0.038071429,0.912240624,0.015229393,0.004949553,0,0.06758043,5253
Oak Lake,2010,51,67,4,0,10,#N/A,#N/A,#N/A,0.386363636,0.507575758,0.03030303,0,0.075757576,132
Ohmans Lake,2010,1030,230,89,281,21,#N/A,#N/A,#N/A,0.623864325,0.139309509,0.053906723,0.170199879,0.012719564,1651
Olson Lake,2010,823,6,10,0,62,3,2.330769231,0.026076923,0.913429523,0.006659267,0.011098779,0,0.068812431,901
Oneka Lake,2010,773,210,66,0,80,#N/A,0,0.019846154,0.684676705,0.186005314,0.058458813,0,0.070859167,1129
Orchard Lake,2010,2040,52,8,0,16,4,2.957142857,0.025142857,0.964083176,0.024574669,0.003780718,0,0.007561437,2116
Otter Lake,2010,2108,57,14,8,75,#N/A,#N/A,#N/A,0.931918656,0.025198939,0.006189213,0.003536693,0.033156499,2262
Owasso Lake,2010,4234,0,12,0,44,#N/A,#N/A,#N/A,0.986946387,0,0.002797203,0,0.01025641,4290
Ox Yoke Lake,2010,439,85,35,0,0,#N/A,#N/A,#N/A,0.785330948,0.152057245,0.062611807,0,0,559
Pamela Pond,2010,3744,0,168,30,13,#N/A,#N/A,#N/A,0.94664981,0,0.042477876,0.007585335,0.003286979,3955
Parkers Lake,2010,6313,8,450,338,202,4,2.9,0.020230769,0.863493366,0.001094242,0.061551087,0.046231706,0.027629599,7311
Parley Lake,2010,1242,57,118,28,31,#N/A,#N/A,#N/A,0.841463415,0.038617886,0.079945799,0.01897019,0.02100271,1476
Patterson Lake,2010,50,79,0,0,3,#N/A,#N/A,#N/A,0.378787879,0.598484848,0,0,0.022727273,132
Peltier Lake,2010,1089,173,80,26,283,#N/A,#N/A,#N/A,0.659600242,0.104784979,0.048455482,0.015748031,0.171411266,1651
Penn Lake,2010,19400,2,2146,1182,103,0,0.396428571,0.147785714,0.84964744,8.75925E-05,0.093986774,0.051767179,0.004511015,22833
Pepin Lake,2010,33,111,0,0,12,#N/A,#N/A,#N/A,0.211538462,0.711538462,0,0,0.076923077,156
Peter Lake,2010,474,101,37,26,22,#N/A,3,0.034,0.718181818,0.153030303,0.056060606,0.039393939,0.033333333,660
Phalen Lake,2010,25483,0,368,212,571,#N/A,#N/A,#N/A,0.956784561,0,0.013816926,0.007959751,0.021438762,26634
Pickerel Lake,2010,2855,806,72,32,241,#N/A,1.2,0.017333333,0.712680979,0.201198203,0.01797304,0.007988018,0.06015976,4006
Pierson Lake,2010,200,45,6,0,14,#N/A,#N/A,#N/A,0.754716981,0.169811321,0.022641509,0,0.052830189,265
Pike Lake,2010,2858,0,29,23,90,#N/A,#N/A,#N/A,0.952666667,0,0.009666667,0.007666667,0.03,3000
Pine Tree Lake,2010,300,32,22,0,20,4,3.375,0.0195,0.802139037,0.085561497,0.058823529,0,0.053475936,374
Plaisted Lake,2010,49,46,0,0,14,2,1.556428571,0.0745,0.449541284,0.422018349,0,0,0.128440367,109
Pleasant Lake,2010,1601,1337,10,76,301,#N/A,0.412,0.1292,0.481503759,0.402105263,0.003007519,0.022857143,0.090526316,3325
Pomerleau Lake,2010,8433,46,80,24,332,#N/A,#N/A,#N/A,0.945933819,0.005159843,0.00897364,0.002692092,0.037240606,8915
Powers Lake,2010,505,0,42,0,124,2,2.46,0.23937037,0.752608048,0,0.062593145,0,0.184798808,671
Priebe Lake,2010,5694,0,54,0,103,#N/A,0.538888889,0.130125,0.97316698,0,0.009229192,0,0.017603828,5851
Raven Lake,2010,3405,38,133,0,2,#N/A,#N/A,#N/A,0.951648966,0.010620458,0.037171604,0,0.000558971,3578
Rebecca Lake,2010,282,2,71,26,43,#N/A,#N/A,#N/A,0.66509434,0.004716981,0.16745283,0.061320755,0.101415094,424
Red Rock Lake,2010,3158,2,146,135,55,#N/A,#N/A,#N/A,0.903318078,0.000572082,0.041762014,0.038615561,0.015732265,3496
Regional Park Lake,2010,5526,331,288,0,576,2,1.945714286,0.065428571,0.822199078,0.049248624,0.042850766,0,0.085701533,6721
Reitz Lake,2010,443,135,24,0,44,3,2.175,0.064090909,0.685758514,0.208978328,0.037151703,0,0.068111455,646
Reshanau Lake,2010,1224,4,4,0,211,1,0.943636364,0.080636364,0.848232848,0.002772003,0.002772003,0,0.146223146,1443
Rest Area Pond,2010,108,14,28,0,64,1,0.622,0.2016,0.504672897,0.065420561,0.130841121,0,0.299065421,214
Rice Elm Lake,2010,11945,94,808,612,202,1,1.021428571,0.196428571,0.874386941,0.006880902,0.059146475,0.044799063,0.014786619,13661
Riley Lake,2010,2133,19,30,4,187,2,1.7,0.0405,0.8988622,0.008006743,0.012642225,0.00168563,0.078803203,2373
Rogers Lake,2010,3210,0,266,58,2,3,1.481818182,0.042545455,0.90780543,0,0.075226244,0.016402715,0.000565611,3536
Rutz Lake,2010,240,77,22,6,38,#N/A,1.8,0.1386,0.626631854,0.201044386,0.057441253,0.015665796,0.09921671,383
Ryan Lake,2010,8189,2,681,268,36,3,1.87,0.0466,0.892436792,0.00021796,0.074215344,0.029206626,0.003923278,9176
Sand Lake,2010,135,66,0,0,62,2,2.372857143,0.032428571,0.513307985,0.25095057,0,0,0.235741445,263
Sarah Lake,2010,776,92,18,2,25,#N/A,#N/A,#N/A,0.849945235,0.100766703,0.019715225,0.002190581,0.027382256,913
Scheuble Lake,2010,461,54,8,0,20,#N/A,#N/A,#N/A,0.848987109,0.099447514,0.014732965,0,0.036832413,543
Schmidt Lake,2010,4267,0,60,10,94,#N/A,#N/A,#N/A,0.962988039,0,0.013540961,0.002256827,0.021214173,4431
Schultz Lake,2010,4181,139,43,22,2,#N/A,#N/A,#N/A,0.953043082,0.031684522,0.009801687,0.005014817,0.000455892,4387
Schutz Lake,2010,95,0,0,0,13,#N/A,#N/A,#N/A,0.87962963,0,0,0,0.12037037,108
Scout Lake,2010,15163,0,416,39,3,1,0.771428571,0.070928571,0.970680494,0,0.026630817,0.002496639,0.000192049,15621
Sea Lake,2010,81,72,0,0,8,#N/A,#N/A,#N/A,0.50310559,0.447204969,0,0,0.049689441,161
Sed Basin Adj to Valley Lake,2010,6301,5,375,0,0,#N/A,#N/A,#N/A,0.943122287,0.000748391,0.056129322,0,0,6681
Seidl Lake,2010,9793,30,811,218,28,2,0.845833333,0.059,0.900091912,0.002757353,0.074540441,0.020036765,0.002573529,10880
Shady Oak Lake,2010,3866,0,1088,599,408,4,3.395454545,0.017363636,0.648548901,0,0.182519711,0.100486496,0.068444892,5961
Shavers Lake,2010,2276,0,136,0,55,#N/A,#N/A,#N/A,0.92257803,0,0.055127685,0,0.022294285,2467
Shields Lake,2010,481,120,26,0,112,#N/A,#N/A,#N/A,0.650879567,0.162381597,0.035182679,0,0.151556157,739
Silver Lake,2010,5013,0,124,28,111,#N/A,1.654285714,0,0.95015163,0,0.023502654,0.005307051,0.021038666,5276
Simley Lake,2010,14573,219,493,42,262,#N/A,#N/A,#N/A,0.934825839,0.014048367,0.031624864,0.002694207,0.016806723,15589
Smetana Lake,2010,1949,0,3127,2601,2586,#N/A,#N/A,#N/A,0.189905486,0,0.304686739,0.253434668,0.251973107,10263
Snail Lake,2010,2725,0,24,0,18,#N/A,#N/A,#N/A,0.984821106,0,0.008673654,0,0.00650524,2767
South Oak Lake,2010,5738,0,537,494,144,#N/A,0.975,0.050692308,0.830030378,0,0.077679734,0.071459569,0.02083032,6913
South Rice Lake,2010,9936,0,1229,292,26,#N/A,#N/A,#N/A,0.865279108,0,0.10702778,0.025428895,0.002264217,11483
South Twin Lake,2010,558,10,20,0,129,3,2.308571429,0.037857143,0.778242678,0.013947001,0.027894003,0,0.179916318,717
Spring Lake,2010,299,0,0,0,53,1,0.94,0.0766,0.849431818,0,0,0,0.150568182,352
St. Joe Lake,2010,363,0,0,0,22,4,2.15,0.022285714,0.942857143,0,0,0,0.057142857,385
Staring Lake,2010,6118,31,184,48,282,#N/A,#N/A,#N/A,0.918205013,0.004652559,0.027615188,0.007203962,0.042323278,6663
Stieger Lake,2010,659,10,67,6,93,#N/A,#N/A,#N/A,0.789221557,0.011976048,0.080239521,0.007185629,0.111377246,835
Success Lake,2010,22245,62,763,396,323,#N/A,#N/A,#N/A,0.935096053,0.002606247,0.032073647,0.016646349,0.013577704,23789
Sucker Lake,2010,3258,0,10,2,24,#N/A,#N/A,#N/A,0.989071038,0,0.003035823,0.000607165,0.007285974,3294
Sullivan Lake,2010,5043,0,344,134,323,#N/A,#N/A,#N/A,0.862936345,0,0.058863792,0.0229295,0.055270363,5844
Sunfish Lake,2010,2562,24,183,0,102,2,2.678125,0.0444,0.892371996,0.008359457,0.063740857,0,0.035527691,2871
Sunnybrook Lake,2010,230,22,54,0,70,4,2.576923077,0.019230769,0.611702128,0.058510638,0.143617021,0,0.186170213,376
Sunset Lake,2010,313,44,0,0,16,#N/A,3.15,0.020875,0.839142091,0.117962466,0,0,0.042895442,373
Sunset Pond,2010,10655,10,387,264,439,3,2.128571429,0.060785714,0.906422799,0.000850702,0.032922161,0.022458528,0.03734581,11755
Susan Lake,2010,1630,7,163,68,100,2,1.743333333,0.065933333,0.828252033,0.003556911,0.082825203,0.034552846,0.050813008,1968
Swede Lake,2010,220,139,24,2,10,0,0.482142857,0.456642857,0.556962025,0.351898734,0.060759494,0.005063291,0.025316456,395
Sweeney Lake,2010,2810,0,5052,4937,4916,2,1.241666667,0.053954545,0.158622636,0,0.285182049,0.278690375,0.277504939,17715
Sylvan Lake,2010,110,11,6,0,0,#N/A,#N/A,#N/A,0.866141732,0.086614173,0.047244094,0,0,127
Tamarack Lake,2010,310,12,0,0,29,#N/A,#N/A,#N/A,0.883190883,0.034188034,0,0,0.082621083,351
Tanners Lake,2010,12146,0,196,2,444,#N/A,#N/A,#N/A,0.949796684,0,0.015326869,0.000156397,0.03472005,12788
Terrapin Lake,2010,147,78,0,0,84,#N/A,3.3,0.019285714,0.475728155,0.252427184,0,0,0.27184466,309
Thole Lake,2010,500,282,0,6,23,#N/A,0.735714286,0.1105,0.616522811,0.347718866,0,0.007398274,0.028360049,811
Thomas Lake,2010,11326,0,85,0,2,#N/A,#N/A,#N/A,0.992377114,0,0.007447647,0,0.000175239,11413
Tiger Lake,2010,29,167,12,0,10,#N/A,#N/A,#N/A,0.133027523,0.766055046,0.055045872,0,0.04587156,218
Twin Lake,2010,5469,0,429,68,30,2,1.695675676,0.072797101,0.912108072,0,0.071547698,0.011340894,0.005003336,5996
Upper Prior Lake,2010,1360,0,0,0,170,2,1.621428571,0.042214286,0.888888889,0,0,0,0.111111111,1530
Vadnais Lake,2010,2711,0,37,2,34,#N/A,#N/A,#N/A,0.973778736,0,0.01329023,0.000718391,0.012212644,2784
Valentine Lake,2010,1177,0,30,4,35,#N/A,#N/A,#N/A,0.944622793,0,0.024077047,0.003210273,0.028089888,1246
Valley Lake,2010,7182,27,82,6,4,1,1.571428571,0.070571429,0.983700863,0.003698124,0.011231338,0.000821805,0.00054787,7301
Virginia Lake,2010,1100,4,6,0,44,#N/A,#N/A,#N/A,0.953206239,0.003466205,0.005199307,0,0.03812825,1154
Wabasso Lake,2010,1020,0,31,20,48,#N/A,#N/A,#N/A,0.91152815,0,0.027703307,0.017873101,0.042895442,1119
Waconia Lake,2010,732,46,10,0,11,2,2.278571429,0.034,0.916145181,0.057571965,0.012515645,0,0.013767209,799
Wasserman Lake,2010,669,13,19,0,79,#N/A,#N/A,#N/A,0.857692308,0.016666667,0.024358974,0,0.101282051,780
Weaver Lake,2010,8234,94,121,6,240,#N/A,#N/A,#N/A,0.946981024,0.010810811,0.013916044,0.000690052,0.02760207,8695
Weber Pond,2010,103,0,46,0,32,3,1.35,0.035714286,0.569060773,0,0.254143646,0,0.17679558,181
West Lakeland Storage Site,2010,142,4,0,0,8,1,0.674285714,0.073,0.922077922,0.025974026,0,0,0.051948052,154
Westwood Lake,2010,3834,0,1021,810,30,3,1.325,0.0223,0.673222125,0,0.17928007,0.142230026,0.005267779,5695
Whaletail Lake,2010,644,39,12,4,8,#N/A,#N/A,#N/A,0.910891089,0.055162659,0.016973126,0.005657709,0.011315417,707
White Bear Lake,2010,303,0,0,0,4,#N/A,#N/A,#N/A,0.986970684,0,0,0,0.013029316,307
White Rock Lake,2010,418,96,8,0,62,2,1.1,0.062285714,0.715753425,0.164383562,0.01369863,0,0.106164384,584
Wilmes Lake,2010,3265,0,134,0,432,2,1.581818182,0.089,0.852257896,0,0.034977813,0,0.112764291,3831
Windsor Lake,2010,2038,0,99,64,72,#N/A,#N/A,#N/A,0.896612407,0,0.043554773,0.028156621,0.031676199,2273
Wing Lake,2010,3070,0,82,0,8,1,0.892857143,0.083428571,0.971518987,0,0.025949367,0,0.002531646,3160
Winkler Lake,2010,49,114,8,0,13,0,0.458333333,0.339692308,0.266304348,0.619565217,0.043478261,0,0.070652174,184
Wolsfeld Lake,2010,1225,52,44,2,87,#N/A,#N/A,#N/A,0.868794326,0.036879433,0.031205674,0.00141844,0.061702128,1410
Wood Lake,2010,2448,0,91,0,0,2,2.293846154,0.039923077,0.964159118,0,0.035840882,0,0,2539
Woodpile Lake,2010,177,26,4,0,70,2,2.362142857,0.064214286,0.63898917,0.093862816,0.014440433,0,0.252707581,277
Young America Lake,2010,476,20,64,18,42,#N/A,#N/A,#N/A,0.767741935,0.032258065,0.103225806,0.029032258,0.067741935,620
Zumbra Lake,2010,176,6,7,0,12,#N/A,#N/A,#N/A,0.875621891,0.029850746,0.034825871,0,0.059701493,201
Acorn Lake,2011,6145,26,150,13,536,#N/A,#N/A,#N/A,0.894468705,0.003784571,0.021834061,0.001892285,0.078020378,6870
Alice Lake,2011,579,40,32,0,260,#N/A,#N/A,#N/A,0.635565313,0.043907794,0.035126235,0,0.285400659,911
Alimagnet Lake,2011,5253,0,85,0,2,2,1.25,0.057416667,0.983707865,0,0.015917603,0,0.000374532,5340
Anderson Pond,2011,2444,0,113,10,4,2,1.24375,0.099666667,0.950602878,0,0.04395177,0.003889537,0.001555815,2571
Ann Lake,2011,1055,8,104,16,66,#N/A,#N/A,#N/A,0.844675741,0.006405124,0.083266613,0.012810248,0.052842274,1249
Ardmore Lake,2011,686,16,68,8,14,#N/A,#N/A,#N/A,0.866161616,0.02020202,0.085858586,0.01010101,0.017676768,792
Armstrong Lake,2011,2328,20,386,0,586,2,1.071428571,0.036571429,0.701204819,0.006024096,0.11626506,0,0.176506024,3320
Assumption Lake,2011,499,821,12,0,161,#N/A,#N/A,#N/A,0.33422639,0.549899531,0.008037508,0,0.107836571,1493
Aue Lake,2011,66,116,6,0,6,#N/A,#N/A,#N/A,0.340206186,0.597938144,0.030927835,0,0.030927835,194
Bald Eagle Lake,2011,1483,0,0,0,14,#N/A,#N/A,#N/A,0.990647963,0,0,0,0.009352037,1497
Baldwin Lake,2011,2122,20,64,4,149,#N/A,0,0.091,0.899533701,0.008478169,0.02713014,0.001695634,0.063162357,2359
Barker Lake,2011,73,76,0,0,14,#N/A,#N/A,#N/A,0.447852761,0.466257669,0,0,0.085889571,163
Barnes Lake,2011,100,58,4,0,20,#N/A,#N/A,#N/A,0.549450549,0.318681319,0.021978022,0,0.10989011,182
Bass Lake,2011,161,56,0,0,14,3,2.288571429,0.04947619,0.696969697,0.242424242,0,0,0.060606061,231
Battle Creek Lake,2011,2030,12,370,0,398,#N/A,#N/A,#N/A,0.722419929,0.004270463,0.131672598,0,0.141637011,2810
Bavaria Lake,2011,1475,48,5,0,102,3,2.573333333,0.037133333,0.904907975,0.029447853,0.003067485,0,0.062576687,1630
Bay Pond,2011,527,80,0,0,122,#N/A,#N/A,#N/A,0.722908093,0.109739369,0,0,0.167352538,729
Benton Lake,2011,494,90,65,19,46,0,0.3,0.173214286,0.691876751,0.12605042,0.091036415,0.026610644,0.06442577,714
Benz Lake,2011,73,20,0,0,8,2,1.85,0.064357143,0.722772277,0.198019802,0,0,0.079207921,101
Berliner Lake,2011,880,297,117,16,92,#N/A,#N/A,#N/A,0.62767475,0.211840228,0.083452211,0.011412268,0.065620542,1402
Beutel Pond,2011,1263,14,90,0,214,#N/A,#N/A,#N/A,0.79886148,0.008855155,0.056925996,0,0.135357369,1581
Big Carnelian Lake,2011,317,26,0,0,32,#N/A,#N/A,#N/A,0.845333333,0.069333333,0,0,0.085333333,375
Big Marine Lake,2011,37,16,0,0,136,4,4.393913043,0.03773913,0.195767196,0.084656085,0,0,0.71957672,189
Big Woods Lake,2011,101,15,28,108,73,#N/A,#N/A,#N/A,0.310769231,0.046153846,0.086153846,0.332307692,0.224615385,325
Birch Lake,2011,6412,22,53,61,100,#N/A,#N/A,#N/A,0.964500602,0.003309266,0.007972323,0.009175692,0.015042118,6648
Bone Lake,2011,164,56,0,0,20,3,1.526666667,0.050266667,0.683333333,0.233333333,0,0,0.083333333,240
Brand Lake,2011,828,187,177,10,182,#N/A,#N/A,#N/A,0.598265896,0.135115607,0.127890173,0.007225434,0.13150289,1384
Braunworth Lake,2011,281,50,24,2,30,#N/A,#N/A,#N/A,0.726098191,0.129198966,0.062015504,0.005167959,0.07751938,387
Brick Pond,2011,1447,4,380,0,368,1,0.522857143,0.088857143,0.658026376,0.001819009,0.172805821,0,0.167348795,2199
Brickyard Clayhole Lake,2011,1074,4,92,10,139,4,3.578571429,0.020357143,0.814253222,0.0030326,0.06974981,0.007581501,0.105382866,1319
Bryant Lake,2011,667,0,127,42,8,#N/A,#N/A,#N/A,0.79028436,0,0.150473934,0.049763033,0.009478673,844
Buck Lake,2011,296,90,0,0,8,#N/A,#N/A,#N/A,0.751269036,0.228426396,0,0,0.020304569,394
Burandt Lake,2011,3191,47,407,52,219,2,2.121428571,0.033857143,0.814862104,0.012002043,0.103932584,0.013278856,0.055924413,3916
Bush Lake,2011,12662,0,155,118,419,4,2.766666667,0.01575,0.948180321,0,0.011607009,0.008836304,0.031376367,13354
Byllesby Lake,2011,3203,1900,148,42,8,#N/A,#N/A,#N/A,0.604225618,0.358422939,0.027919261,0.007923033,0.001509149,5301
Calhoun Lake,2011,6523,0,2097,547,20,#N/A,#N/A,#N/A,0.710025035,0,0.22825732,0.059540655,0.002176989,9187
Campbell Lake,2011,162,339,10,0,9,#N/A,#N/A,#N/A,0.311538462,0.651923077,0.019230769,0,0.017307692,520
Capaul Pond,2011,93,26,0,0,18,#N/A,#N/A,#N/A,0.678832117,0.189781022,0,0,0.131386861,137
Carol Lake,2011,123,40,0,0,10,#N/A,#N/A,#N/A,0.710982659,0.231213873,0,0,0.057803468,173
Carver Lake,2011,7222,8,154,6,445,#N/A,#N/A,#N/A,0.921761327,0.001021059,0.019655392,0.000765795,0.056796426,7835
Cates Lake,2011,2016,26,26,0,227,3,2.05,0.024416667,0.878431373,0.011328976,0.011328976,0,0.098910675,2295
Cedar Island Lake,2011,2356,0,355,126,27,#N/A,#N/A,#N/A,0.822625698,0,0.123952514,0.043994413,0.009427374,2864
Cedar Lake,2011,1467,466,68,0,126,1,1.021428571,0.158928571,0.689703808,0.219087917,0.031969911,0,0.059238364,2127
Cenaiko Lake,2011,22654,6,570,320,1079,3,1.815384615,0.025846154,0.91980998,0.000243615,0.023143449,0.012992813,0.043810143,24629
Centerville Lake,2011,948,21,22,16,227,#N/A,#N/A,#N/A,0.768233387,0.017017828,0.017828201,0.012965964,0.183954619,1234
Charley Lake,2011,2452,0,6,0,8,#N/A,#N/A,#N/A,0.99432279,0,0.00243309,0,0.00324412,2466
Christmas Lake,2011,6410,0,325,27,183,#N/A,4,0,0.922966163,0,0.046796256,0.003887689,0.026349892,6945
Chub Lake,2011,4745,1700,194,21,108,0,0.466,0.1218,0.701093381,0.251182033,0.028664303,0.003102837,0.015957447,6768
Clear Lake,2011,3286,228,593,0,740,#N/A,5.9625,0,0.677945121,0.047039406,0.122343718,0,0.152671756,4847
Cleary Lake,2011,797,134,2,0,38,#N/A,#N/A,#N/A,0.820803296,0.13800206,0.002059732,0,0.039134912,971
Cloverdale Lake,2011,250,0,50,0,52,4,3.355555556,0.034555556,0.710227273,0,0.142045455,0,0.147727273,352
Cobblecrest Lake,2011,6046,0,257,53,71,1,0.466666667,0.108666667,0.940718842,0,0.039987553,0.00824646,0.011047145,6427
Cobblestone Lake,2011,10734,146,367,54,4,2,1.046428571,0.054142857,0.949491375,0.01291464,0.032463512,0.004776648,0.000353826,11305
Colby Lake,2011,4784,100,32,0,775,1,0.907142857,0.103785714,0.840625549,0.017571604,0.005622913,0,0.136179933,5691
Coon Lake,2011,2424,180,381,8,630,#N/A,#N/A,#N/A,0.669058791,0.049682583,0.105161468,0.002208115,0.173889042,3623
Cornelia Lake,2011,3141,0,116,4,30,#N/A,#N/A,#N/A,0.954421149,0,0.035247645,0.001215436,0.00911577,3291
Courthouse Lake,2011,2123,75,162,36,418,4,3.314285714,0.033071429,0.754442075,0.026652452,0.057569296,0.012793177,0.148542999,2814
Cowley Lake,2011,3860,69,251,157,50,#N/A,#N/A,#N/A,0.87987235,0.015728288,0.057214497,0.035787554,0.01139731,4387
Crane Lake,2011,3754,0,197,16,54,#N/A,#N/A,#N/A,0.933598607,0,0.048992788,0.00397911,0.013429495,4021
Crooked Lake,2011,33601,206,1712,458,2251,#N/A,#N/A,#N/A,0.878963064,0.00538872,0.044783928,0.011980747,0.058883541,38228
Crystal Lake,2011,1733,0,16,0,0,3,2.102941176,0.025428571,0.990851915,0,0.009148085,0,0,1749
Cynthia Lake,2011,263,226,10,0,31,#N/A,#N/A,#N/A,0.496226415,0.426415094,0.018867925,0,0.058490566,530
Dan Patch Lake,2011,4866,29,348,6,537,#N/A,#N/A,#N/A,0.840995506,0.005012098,0.060145178,0.001036986,0.092810232,5786
DeMontreville Lake,2011,115,6,0,0,34,4,3.440952381,0.02652381,0.741935484,0.038709677,0,0,0.219354839,155
Dean Lake,2011,3511,38,196,0,364,#N/A,1.566666667,0.070666667,0.854465807,0.009247992,0.04770017,0,0.088586031,4109
Deeg Lake,2011,9338,0,412,56,8,#N/A,#N/A,#N/A,0.95149786,0,0.041980844,0.005706134,0.000815162,9814
Deep Lake,2011,775,57,1,0,14,#N/A,#N/A,#N/A,0.914994097,0.06729634,0.001180638,0,0.016528926,847
Diamond Lake,2011,1381,56,142,202,136,#N/A,#N/A,#N/A,0.720396453,0.029212311,0.074074074,0.105372979,0.070944184,1917
